"Year","Minimum","Mean","Maximum","Quantile_0.05","Quantile_0.10","Median","Quantile_0.90","Quantile_0.95"
1990,260.020568847656,281.8395658934,299.800323486328,269.597816467285,272.389404296875,282.111282348633,291.234439086914,293.325381469727
1991,254.1376953125,280.64749140041,300.388153076172,267.260250854492,269.936499023437,280.610336303711,291.806109619141,293.717451477051
1992,257.91845703125,281.4263579373,303.262420654297,268.885089111328,271.537554931641,279.321350097656,293.82712097168,295.954463195801
1993,253.957458496094,280.53991393239,300.219635009766,266.67144317627,269.046810913086,280.262756347656,291.226196289062,292.726359558105
1994,249.490951538086,281.630213043888,304.521850585938,269.265591430664,271.423648071289,280.693145751953,293.207681274414,296.769395446777
1995,254.936889648438,280.898660412739,301.131469726562,266.015658569336,268.868063354492,280.434494018555,293.226968383789,294.950659179687
1996,247.476699829102,279.17603856937,299.717102050781,260.97825012207,264.788836669922,281.379348754883,291.602758789062,293.329899597168
1997,244.256896972656,280.333304567248,301.028961181641,265.491293334961,269.527331542969,279.828964233398,292.263491821289,293.406381225586
1998,253.877258300781,280.852717400602,302.243804931641,266.160444641113,269.329238891602,281.275360107422,291.994110107422,293.503707885742
1999,256.743560791016,281.474888335249,300.055480957031,268.527124023438,270.463519287109,281.689880371094,292.6328125,294.085780334473
2000,254.924682617188,282.112147639989,301.840911865234,269.341535949707,271.738500976562,282.603454589844,291.675210571289,293.321255493164
2001,250.824447631836,280.714937925188,301.105712890625,266.010005187988,268.716644287109,282.098510742188,292.536846923828,294.655519104004
2002,249.416198730469,281.697117632111,301.029815673828,264.742723083496,269.359573364258,281.352996826172,293.833905029297,295.450981140137
2003,246.519165039062,281.002373141097,301.133331298828,265.707292175293,268.882977294922,280.763946533203,293.470697021484,295.354711914062
2004,255.482666015625,280.958121676162,299.893707275391,266.273876953125,269.468225097656,282.001449584961,291.569418334961,293.55837097168
2005,253.866195678711,281.049680763944,303.045806884766,266.784010314941,269.022647094727,281.650863647461,292.765493774414,294.329849243164
2006,242.82373046875,281.385309198699,302.562530517578,263.413423156738,267.20725402832,282.742980957031,293.82649230957,296.637973022461
2007,253.46159362793,282.174564988163,302.941284179688,269.334619140625,271.720568847656,281.241256713867,293.713244628906,295.068911743164
2008,257.733062744141,282.167630108147,299.599884033203,271.127973937988,272.580590820313,281.837814331055,292.879748535156,294.448974609375
2009,255.928237915039,281.283538668826,299.929443359375,266.785116577148,269.757022094727,281.742279052734,292.607037353516,294.161085510254
2010,245.829162597656,279.748374281663,302.364471435547,261.034786987305,264.410659790039,280.808685302734,293.347933959961,295.85009765625
2011,254.635665893555,281.477574099831,298.770416259766,266.939364624023,270.487252807617,281.380722045898,292.425689697266,293.8990234375
2012,247.033584594727,281.224339049741,302.021423339844,262.879165649414,268.581921386719,281.763870239258,293.58620300293,295.843296813965
2013,254.824813842773,281.067283935868,303.640808105469,266.608915710449,269.137936401367,281.639190673828,292.593240356445,294.457025146484
2014,254.327255249023,282.438563459455,301.013031005859,267.585940551758,271.94228515625,283.146484375,293.431015014648,295.720867919922
2015,258.423278808594,282.578568285027,304.049835205078,270.938711547852,272.504791259766,281.705017089844,294.100756835937,297.069721984863
2016,257.800231933594,281.941467653317,301.293334960938,268.994479370117,271.718521118164,280.642868041992,293.412606811523,295.03770904541
2017,251.93798828125,281.48809937456,302.169952392578,266.687452697754,270.209271240234,281.357330322266,292.286837768555,294.193545532227
2018,256.882202148438,282.621871085775,301.975372314453,267.515844726562,270.030773925781,283.902572631836,294.566223144531,296.075987243652
2019,257.906097412109,283.059822613442,303.473846435547,270.35809173584,272.332727050781,282.641448974609,294.709405517578,296.526831054687
2020,263.750335693359,282.662987306971,301.360717773438,271.966943359375,272.974594116211,281.994613647461,293.482806396484,294.92204284668
