"Year","Minimum","Mean","Maximum","Quantile_0.05","Quantile_0.10","Median","Quantile_0.90","Quantile_0.95"
1990,263.371154785156,286.275860744914,308.245452880859,272.674081420898,274.580517578125,286.921646118164,297.002017211914,299.500331115723
1991,257.403961181641,284.935512481786,308.036499023438,270.52447052002,273.234866333008,285.176223754883,297.27507019043,299.365696716309
1992,262.833404541016,286.016661745884,311.571014404297,272.229216003418,274.085403442383,284.458572387695,299.90637512207,302.663726806641
1993,258.271362304688,285.090306413849,308.07177734375,270.523651123047,272.822802734375,285.334503173828,297.507180786133,299.203253173828
1994,257.973266601562,286.07984256467,312.163909912109,272.460633850098,274.14499206543,285.499008178711,299.321411132812,303.04969329834
1995,259.896331787109,285.36672510949,310.31298828125,269.372087097168,272.179992675781,285.388336181641,299.018923950195,301.30673828125
1996,250.699249267578,283.691611971701,307.238159179688,265.287536621094,268.631838989258,285.996734619141,297.443408203125,299.640573120117
1997,249.352691650391,284.614138964849,308.636108398438,269.775129699707,272.688021850586,284.674224853516,297.582885742188,299.244537353516
1998,258.659698486328,285.060233692615,310.776672363281,269.901036071777,272.496829223633,285.624572753906,297.435598754883,299.441188049316
1999,259.399475097656,285.777794029308,307.331787109375,271.620050048828,273.252780151367,286.611206054688,298.115237426758,299.710897827148
2000,258.438720703125,286.61326095626,310.162353515625,272.017465209961,274.163110351563,287.960906982422,297.673095703125,299.821914672852
2001,256.353759765625,285.021730043112,308.568725585938,269.920137023926,272.29508972168,286.541778564453,297.783831787109,300.317463684082
2002,252.595642089844,286.23355280242,308.782684326172,268.768263244629,272.356741333008,286.352691650391,300.139694213867,301.838500976562
2003,251.442596435547,285.751325932494,309.290924072266,269.96548614502,272.826953125,285.707962036133,299.565133666992,301.723439025879
2004,258.038482666016,285.332173334405,308.044128417969,269.870542907715,272.836590576172,286.566329956055,297.319912719727,299.560571289062
2005,260.980102539062,285.619348186336,310.746673583984,270.312635803223,272.350787353516,286.65576171875,298.617166137695,300.583483886719
2006,247.779205322266,285.912885329927,309.941528320312,268.042822265625,271.270397949219,287.539474487305,299.496307373047,302.550549316406
2007,258.738677978516,286.568068118965,310.961120605469,272.381262207031,274.229327392578,286.70751953125,299.145071411133,301.024378967285
2008,261.034973144531,286.491760792678,307.072723388672,273.582051086426,275.159140014648,286.517013549805,298.533776855469,300.631767272949
2009,259.063537597656,285.695321806414,307.680541992188,270.288398742676,272.866189575195,286.67756652832,298.142324829102,299.877426147461
2010,252.352081298828,284.028858690815,309.468688964844,264.72241973877,267.874963378906,285.829681396484,298.202017211914,301.234860229492
2011,259.255126953125,286.000374580279,308.986389160156,270.908081054688,273.539486694336,286.73583984375,297.891226196289,299.605229187012
2012,253.306030273438,285.774926829649,311.026428222656,266.799563598633,271.800848388672,286.724807739258,299.920315551758,302.419627380371
2013,258.479583740234,285.346133514179,311.207550048828,269.907707214355,272.494104003906,286.429214477539,297.995895385742,300.039915466309
2014,257.396789550781,287.023387211276,308.416625976562,270.752294921875,274.514801025391,288.169967651367,298.896942138672,301.306657409668
2015,262.686462402344,287.280941740303,311.825927734375,273.871014404297,275.245138549805,286.381210327148,300.389474487305,304.06276550293
2016,260.256591796875,286.268800933184,308.221649169922,272.136787414551,274.139477539063,284.919555664062,299.247705078125,301.374328613281
2017,255.067413330078,285.706311041588,310.105743408203,271.137495422363,273.411535644531,285.517028808594,297.847698974609,300.055749511719
2018,258.747619628906,287.238856127853,310.103698730469,271.028802490234,273.152648925781,289.485610961914,300.40910949707,302.192994689941
2019,261.792510986328,287.7230186747,310.955993652344,273.348910522461,274.934185791016,287.781066894531,300.439813232422,302.779753112793
2020,269.075714111328,287.107979160099,308.635681152344,274.724809265137,275.904455566406,286.972579956055,298.920343017578,300.975807189941
