"Year","Minimum","Mean","Maximum","Quantile_0.05","Quantile_0.10","Median","Quantile_0.90","Quantile_0.95"
1990,-13.1294311523437,8.68956589340035,26.6503234863281,-3.55218353271482,-0.760595703124977,8.96128234863284,18.0844390869141,20.1753814697266
1991,-19.0123046875,7.4974914004102,27.2381530761719,-5.88974914550779,-3.21350097656248,7.46033630371096,18.6561096191406,20.5674514770508
1992,-15.23154296875,8.27635793730011,30.1124206542969,-4.26491088867185,-1.61244506835935,6.17135009765627,20.6771209716797,22.8044631958008
1993,-19.1925415039062,7.38991393239031,27.0696350097656,-6.47855682373044,-4.10318908691404,7.11275634765627,18.0761962890625,19.5763595581055
1994,-23.659048461914,8.48021304388822,31.3718505859375,-3.88440856933591,-1.72635192871091,7.54314575195315,20.0576812744141,23.6193954467774
1995,-18.2131103515625,7.74866041273917,27.9814697265625,-7.13434143066404,-4.28193664550779,7.28449401855471,20.0769683837891,21.8006591796875
1996,-25.6733001708984,6.02603856936982,26.5671020507813,-12.1717498779297,-8.3611633300781,8.22934875488284,18.4527587890625,20.179899597168
1997,-28.8931030273437,7.18330456724838,27.8789611816406,-7.65870666503904,-3.62266845703123,6.67896423339846,19.1134918212891,20.256381225586
1998,-19.2727416992187,7.70271740060212,29.0938049316406,-6.9895553588867,-3.82076110839841,8.1253601074219,18.8441101074219,20.3537078857422
1999,-16.4064392089844,8.32488833524909,26.9054809570313,-4.62287597656248,-2.6864807128906,8.53988037109377,19.4828125,20.9357803344727
2000,-18.2253173828125,8.96214763998937,28.6909118652344,-3.80846405029295,-1.41149902343748,9.45345458984377,18.5252105712891,20.1712554931641
2001,-22.325552368164,7.56493792518803,27.955712890625,-7.1399948120117,-4.4333557128906,8.94851074218752,19.3868469238281,21.5055191040039
2002,-23.7338012695312,8.54711763211123,27.8798156738281,-8.40727691650388,-3.79042663574216,8.2029968261719,20.6839050292969,22.3009811401367
2003,-26.6308349609375,7.85237314109684,27.9833312988281,-7.44270782470701,-4.2670227050781,7.61394653320315,20.3206970214844,22.2047119140625
2004,-17.667333984375,7.80812167616242,26.7437072753906,-6.87612304687498,-3.68177490234373,8.85144958496096,18.419418334961,20.4083709716797
2005,-19.283804321289,7.89968076394408,29.8958068847656,-6.36598968505857,-4.12735290527341,8.50086364746096,19.6154937744141,21.1798492431641
2006,-30.32626953125,8.23530919869911,29.4125305175781,-9.73657684326169,-5.94274597167967,9.59298095703127,20.6764923095703,23.487973022461
2007,-19.6884063720703,9.02456498816345,29.7912841796875,-3.81538085937498,-1.42943115234373,8.09125671386721,20.5632446289063,21.9189117431641
2008,-15.4169372558594,9.01763010814744,26.4498840332031,-2.02202606201169,-0.569409179687477,8.68781433105471,19.7297485351563,21.298974609375
2009,-17.2217620849609,8.13353866882648,26.779443359375,-6.36488342285154,-3.39297790527341,8.5922790527344,19.4570373535156,21.0110855102539
2010,-27.3208374023437,6.59837428166318,29.2144714355469,-12.1152130126953,-8.73934020996091,7.6586853027344,20.197933959961,22.70009765625
2011,-18.5143341064453,8.32757409983116,25.6204162597656,-6.21063537597654,-2.66274719238279,8.23072204589846,19.2756896972656,20.7490234375
2012,-26.1164154052734,8.07433904974139,28.8714233398438,-10.2708343505859,-4.56807861328123,8.61387023925784,20.4362030029297,22.6932968139649
2013,-18.3251861572265,7.91728393586847,30.4908081054688,-6.54108428955076,-4.01206359863279,8.48919067382815,19.4432403564453,21.3070251464844
2014,-18.8227447509765,9.28856345945467,27.8630310058594,-5.56405944824216,-1.20771484374998,9.99648437500002,20.2810150146485,22.5708679199219
2015,-14.7267211914062,9.42856828502661,30.8998352050781,-2.21128845214841,-0.645208740234352,8.55501708984377,20.9507568359375,23.9197219848633
2016,-15.3497680664062,8.79146765331705,28.1433349609375,-4.15552062988279,-1.43147888183591,7.49286804199221,20.2626068115235,21.8877090454102
2017,-21.21201171875,8.33809937456011,29.0199523925781,-6.46254730224607,-2.9407287597656,8.20733032226565,19.1368377685547,21.0435455322266
2018,-16.2677978515625,9.47187108577493,28.8253723144531,-5.63415527343748,-3.11922607421873,10.752572631836,21.4162231445313,22.9259872436524
2019,-15.2439025878906,9.9098226134418,30.3238464355469,-2.79190826416013,-0.817272949218727,9.4914489746094,21.5594055175781,23.3768310546875
2020,-9.3996643066406,9.51298730697089,28.2107177734375,-1.18305664062498,-0.17540588378904,8.84461364746096,20.3328063964844,21.7720428466797
