"Year","Minimum","Mean","Maximum","Quantile_0.05","Quantile_0.10","Median","Quantile_0.90","Quantile_0.95"
1990,275.626098632812,294.733015498836,318.305847167969,282.915484619141,284.877990722656,293.318572998047,306.627478027344,309.970703125
1991,274.445220947266,294.459051868293,319.002563476562,282.914099121094,284.638824462891,292.262329101562,307.518731689453,310.410546875
1992,275.942810058594,294.64371343411,315.676147460938,283.444030761719,285.157476806641,293.629653930664,306.192721557617,309.056045532227
1993,273.267120361328,293.225548350569,315.973022460938,283.706726074219,285.118414306641,291.398651123047,305.285925292969,307.988427734375
1994,274.892028808594,294.626036360808,315.47119140625,283.778125,285.700769042969,293.593078613281,305.441851806641,307.789752197266
1995,277.150268554688,295.772835333549,317.641448974609,284.197766113281,286.098187255859,295.797302246094,305.831701660156,308.651409912109
1996,275.375793457031,293.617312960196,315.942810058594,282.693141174316,284.368612670898,292.77897644043,304.506857299805,306.642514038086
1997,273.832458496094,294.721317787069,314.233947753906,283.747680664062,285.844924926758,294.321044921875,304.704879760742,307.481178283691
1998,275.002105712891,294.650464175679,315.327331542969,283.978070068359,285.77041015625,293.251647949219,306.616845703125,309.339544677734
1999,276.622924804688,294.462294400611,316.424987792969,283.107891845703,285.060632324219,293.294616699219,306.134851074219,308.479699707031
2000,274.9345703125,294.156685069566,316.224487304688,283.012829589844,285.006918334961,292.727020263672,305.75192565918,308.301596069336
2001,276.12646484375,293.962470972983,319.365966796875,283.02490234375,284.761755371094,292.641174316406,305.808209228516,308.040734863281
2002,277.154022216797,294.248447879148,314.455474853516,283.453967285156,285.343695068359,293.080688476562,305.385736083984,307.674365234375
2003,274.890594482422,294.126461663694,318.964965820312,282.484069824219,284.405920410156,292.556182861328,305.973883056641,309.204998779297
2004,276.177673339844,294.530209771518,317.7841796875,283.578125,285.233053588867,292.41455078125,306.513952636719,308.798870849609
2005,275.457092285156,295.145676594745,316.727203369141,282.685009765625,284.603747558594,293.923706054688,307.554840087891,310.167907714844
2006,274.062774658203,294.977049296455,316.620056152344,282.804992675781,284.621325683594,294.001098632812,307.683850097656,310.313171386719
2007,275.725616455078,294.398239341884,317.409576416016,283.637670898437,285.489221191406,293.916748046875,304.638366699219,307.092144775391
2008,275.916778564453,294.235977236106,315.246673583984,283.838989257812,285.70710144043,292.951736450195,304.754193115234,307.512423706055
2009,274.057800292969,295.060852814802,315.092224121094,282.303393554687,284.593634033203,294.597747802734,306.804248046875,309.220916748047
2010,273.120025634766,294.130282709539,316.614166259766,281.385607910156,283.442468261719,292.811553955078,307.465100097656,310.018505859375
2011,276.421020507812,295.028442336683,314.072906494141,283.484423828125,285.216760253906,294.864501953125,305.688244628906,307.950048828125
2012,276.054321289062,294.419133417975,317.909423828125,283.412422180176,285.106921386719,292.754028320312,306.072583007813,308.377375793457
2013,276.074584960938,294.264073790207,316.085479736328,283.041162109375,284.575311279297,292.36865234375,307.173034667969,309.472778320312
2014,277.261840820312,294.551208135707,318.158325195312,283.503576660156,284.991735839844,294.421356201172,305.009265136719,307.567016601562
2015,275.564514160156,295.415833456538,316.55126953125,283.855194091797,285.671673583984,294.390167236328,306.804040527344,309.168725585937
2016,276.828125,294.660937912881,317.328460693359,283.638291931152,285.405233764648,292.341979980469,307.530252075195,310.188514709473
2017,276.011810302734,296.121891713311,318.694885253906,283.771398925781,285.807690429688,295.559967041016,307.582006835937,310.005596923828
2018,275.442932128906,294.420374477929,319.01806640625,283.311944580078,284.833605957031,292.600433349609,306.51240234375,308.763757324219
2019,276.890747070312,295.232662446351,314.906829833984,284.362890625,286.100231933594,294.221893310547,306.224273681641,308.526086425781
2020,277.038421630859,294.976457416483,317.947113037109,284.194960021973,285.952200317383,293.17414855957,307.255001831055,309.713174438477
