"Year","Minimum","Mean","Maximum","Quantile_0.05","Quantile_0.10","Median","Quantile_0.90","Quantile_0.95"
1990,271.233123779297,288.643641070842,307.580230712891,278.090350341797,279.919842529297,287.667816162109,298.043731689453,300.877606201172
1991,271.904022216797,288.185711874622,309.870025634766,277.785491943359,279.492132568359,286.7666015625,298.559014892578,301.169757080078
1992,271.030303955078,288.017110930609,306.722229003906,277.506814575195,279.572009277344,287.486480712891,297.181042480469,299.794071960449
1993,270.951293945312,287.300554413721,306.324371337891,278.180755615234,279.804791259766,286.305847167969,296.861724853516,299.060552978516
1994,271.4404296875,288.267765468621,304.58544921875,278.859344482422,280.755718994141,287.673004150391,296.458807373047,298.340032958984
1995,271.789337158203,289.507773102484,307.200653076172,279.367376708984,281.356713867187,289.74267578125,297.457977294922,299.694641113281
1996,272.288879394531,287.908251667328,304.432983398438,278.484887695313,280.261889648437,287.446731567383,296.192492675781,297.849127197266
1997,271.291107177734,288.97584657716,305.359008789062,279.692123413086,281.718658447266,288.772964477539,296.559310913086,298.684326171875
1998,272.542449951172,288.407197679638,305.903594970703,278.769927978516,280.459014892578,287.681457519531,297.632171630859,299.928869628906
1999,271.839080810547,288.057394303947,306.254486083984,277.728729248047,279.463494873047,287.533569335938,297.250311279297,299.122979736328
2000,272.115875244141,288.007862948599,306.131225585938,278.485307312012,280.167370605469,287.294540405273,296.75725402832,298.78283996582
2001,270.123382568359,287.90922386519,305.043731689453,277.970709228516,279.745733642578,287.406188964844,296.834893798828,298.614471435547
2002,274.015289306641,288.220789606367,304.433135986328,279.192736816406,280.801495361328,287.716278076172,296.238909912109,298.221374511719
2003,271.302459716797,288.202212638296,308.959747314453,278.113446044922,280.009100341797,287.277770996094,297.116888427734,299.894146728516
2004,272.813507080078,288.112061573328,309.172088623047,278.114697265625,279.78196105957,286.836166381836,297.366836547852,299.332897949219
2005,270.638763427734,288.337725809896,306.519256591797,276.746160888672,278.486676025391,288.160430908203,298.344952392578,300.544494628906
2006,271.6923828125,288.760391873957,307.366973876953,277.151507568359,279.086920166016,288.500091552734,298.576104736328,300.939642333984
2007,271.093658447266,287.905213492154,306.913421630859,278.468084716797,280.150933837891,287.729217529297,295.997662353516,298.063323974609
2008,273.137725830078,287.86541855005,304.882598876953,278.951177978516,280.525961303711,287.125869750977,296.094638061523,298.136071777344
2009,270.469329833984,288.714848596485,306.729339599609,278.104144287109,280.328363037109,288.351318359375,297.635107421875,299.766119384766
2010,271.091094970703,288.201412443468,307.881164550781,276.711694335937,279.087066650391,287.521820068359,298.364349365234,300.605212402344
2011,271.375640869141,288.652810975995,304.173614501953,278.4640625,280.192657470703,289.106170654297,296.742242431641,298.324774169922
2012,270.651458740234,287.861025143011,306.555145263672,277.827304077148,279.534927368164,286.990783691406,297.007009887695,298.787545776367
2013,273.19140625,288.010817943748,306.741973876953,277.880810546875,279.377716064453,287.093383789062,298.016986083984,299.915228271484
2014,271.659851074219,288.502300696718,305.005035400391,278.834576416016,280.543157958984,288.599060058594,296.126342773438,297.994464111328
2015,272.332244873047,288.73615766191,306.600311279297,278.441577148437,280.163403320313,288.341278076172,297.639654541016,299.532879638672
2016,273.494873046875,288.455058881157,307.322662353516,278.924604797363,280.432473754883,287.358978271484,298.339544677734,300.501402282715
2017,270.774932861328,289.085595336972,307.752410888672,278.191217041016,280.144244384766,289.210906982422,298.017620849609,300.088452148438
2018,272.306671142578,288.266676889166,309.313323974609,278.591418457031,280.110095214844,287.297332763672,297.562658691406,299.580694580078
2019,273.425354003906,288.601124987199,305.644104003906,279.221197509766,280.865252685547,287.993804931641,297.089801025391,298.756146240234
2020,272.451141357422,288.880644403475,306.541656494141,279.611396789551,281.381341552734,287.837890625,297.968276977539,300.032255554199
