"Year","Minimum","Mean","Maximum","Quantile_0.05","Quantile_0.10","Median","Quantile_0.90","Quantile_0.95"
1990,268.107299804688,283.256145871198,299.345245361328,273.551379394531,275.459765625,283.1201171875,290.888842773437,292.560424804688
1991,267.508972167969,282.640795731218,301.247131347656,272.840148925781,274.765893554688,282.285034179688,291.010400390625,292.575762939453
1992,267.958587646484,282.291665562582,298.615631103516,272.644357299805,274.566390991211,282.3251953125,289.531134033203,291.418017578125
1993,267.386596679688,282.07218003451,296.808471679688,273.033947753906,274.912878417969,281.882690429688,289.565313720703,290.989123535156
1994,268.52587890625,282.68256870823,296.332244873047,273.7611328125,275.7904296875,282.867614746094,289.012677001953,290.002087402344
1995,268.215393066406,283.957475096964,297.616638183594,274.463024902344,276.558374023438,284.511901855469,290.302026367188,291.7806640625
1996,268.963775634766,282.786796640267,295.814208984375,274.084683227539,276.114019775391,282.899536132812,289.172793579102,290.245225524902
1997,268.097229003906,283.890876125323,296.762329101562,275.69359588623,277.524475097656,283.937713623047,290.273193359375,291.497085571289
1998,268.985504150391,282.962490085031,299.260192871094,273.788189697266,275.705041503906,282.99755859375,290.16767578125,291.788916015625
1999,267.801910400391,282.522844839119,296.850311279297,272.752209472656,274.518890380859,282.747711181641,289.92763671875,291.053924560547
2000,268.914581298828,282.649511702074,296.251098632812,273.804064941406,275.890002441406,282.780670166016,289.25491027832,290.654760742187
2001,264.544006347656,282.675954979638,296.657989501953,273.619927978516,275.459204101563,282.986694335938,289.550219726562,290.675250244141
2002,269.538299560547,283.020015800523,296.849700927734,274.92724609375,276.674328613281,283.123229980469,289.19267578125,290.241418457031
2003,267.020690917969,283.049495426371,299.483947753906,273.746276855469,275.838208007813,283.030792236328,290.052899169922,291.974633789062
2004,267.644439697266,282.624661598184,300.669769287109,273.440322875977,275.053384399414,282.485580444336,289.993411254883,291.194233703613
2005,266.031677246094,282.517221220699,298.382385253906,271.509832763672,273.292279052734,283.043762207031,290.453460693359,291.919091796875
2006,268.290222167969,283.381258877055,299.203247070312,272.451702880859,274.604370117188,283.890380859375,290.783361816406,292.659857177734
2007,267.854583740234,282.366656819931,296.215270996094,273.625921630859,275.488208007812,282.457580566406,289.158215332031,290.61220703125
2008,268.919982910156,282.423613110347,295.930419921875,274.174975585937,275.840280151367,282.403549194336,289.004455566406,290.320779418945
2009,267.111785888672,283.184872694561,298.334991455078,273.572229003906,275.856695556641,283.346130371094,290.136743164063,291.687835693359
2010,268.113830566406,282.973471174569,299.721008300781,272.327978515625,274.893225097656,283.078521728516,290.521905517578,292.363702392578
2011,268.247711181641,283.202727769826,298.706085205078,273.735327148438,275.683361816406,283.828796386719,289.615600585938,290.848828125
2012,267.862731933594,282.2833961471,298.482482910156,272.551791381836,274.414865112305,282.410278320312,289.779949951172,291.036569213867
2013,268.576293945312,282.613618828905,298.797912597656,273.120068359375,274.713702392578,282.499816894531,290.375207519531,291.593145751953
2014,268.097351074219,283.303298934338,296.393341064453,274.837365722656,276.385339355469,283.621887207031,289.729125976562,290.697705078125
2015,268.932678222656,283.091439587247,297.802978515625,273.581860351563,275.607580566406,283.460876464844,289.9306640625,291.161169433594
2016,269.88818359375,283.203768218195,299.899536132812,274.468171691895,276.243545532227,283.068801879883,290.384652709961,292.299029541016
2017,268.197174072266,283.191908531567,298.803955078125,273.133184814453,275.365020751953,283.642974853516,290.062438964844,291.451275634766
2018,268.473266601562,283.049045669058,300.162841796875,273.899493408203,275.8357421875,283.048034667969,290.170306396484,291.874230957031
2019,269.118133544922,282.954997257022,297.324096679688,274.410980224609,276.172448730469,282.87744140625,289.5298828125,290.729125976562
2020,269.665832519531,283.645635374481,298.693725585938,275.15086517334,277.039703369141,283.51432800293,290.3701171875,291.674890136719
