"Year","Minimum","Mean","Maximum","Quantile_0.05","Quantile_0.10","Median","Quantile_0.90","Quantile_0.95"
1990,260.535064697266,287.391842107543,309.533660888672,272.15534362793,274.464233398438,288.392776489258,299.871429443359,302.213291931152
1991,253.794494628906,286.127898648081,312.15576171875,268.526335144043,271.741741943359,287.642822265625,300.580545043945,303.328802490234
1992,259.569519042969,286.04569662226,310.551818847656,269.267947387695,271.676251220703,286.027786254883,301.376281738281,303.993745422363
1993,257.970581054688,285.185953865538,310.623046875,267.818963623047,270.551553344727,285.823303222656,298.231182861328,301.070259094238
1994,249.739929199219,286.61256723922,310.497589111328,269.05355682373,272.156457519531,287.47053527832,301.796008300781,303.841741943359
1995,255.009613037109,286.288996941265,308.962280273438,268.22299041748,271.067446899414,286.892913818359,301.31194152832,303.174456787109
1996,250.1962890625,285.156557353401,312.599822998047,263.469931030273,266.785595703125,286.578567504883,300.62639465332,303.227781677246
1997,244.915191650391,284.871695254688,310.51708984375,266.227514648437,270.509417724609,285.071624755859,299.272857666016,300.88625793457
1998,252.493408203125,285.947997996421,314.374328613281,267.029602050781,270.248101806641,287.47297668457,300.746185302734,303.619520568848
1999,253.907104492188,287.0126401203,312.824768066406,270.26714630127,272.681552124023,287.314117431641,302.445584106445,304.902508544922
2000,252.540802001953,286.706128614062,314.639587402344,270.044175720215,272.641000366211,287.702926635742,300.604064941406,303.299090576172
2001,254.879241943359,286.403899094875,314.083770751953,267.607043457031,270.938949584961,287.704696655273,301.875927734375,305.268035888672
2002,249.034271240234,287.132456506757,313.151397705078,266.400059509277,270.602282714844,287.851623535156,302.1748046875,305.139221191406
2003,251.880096435547,285.465992379673,310.697631835938,267.569041442871,270.572503662109,285.771820068359,300.420263671875,302.083479309082
2004,256.507904052734,285.870386695107,310.115081787109,269.059649658203,271.766430664063,287.507949829102,298.838177490234,300.973129272461
2005,256.178955078125,286.365748115435,311.577270507812,268.7552734375,271.847122192383,287.996536254883,300.689547729492,302.679878234863
2006,247.575531005859,285.938067563165,313.018432617188,266.120536804199,270.306420898437,287.874755859375,300.547647094727,302.905953979492
2007,256.371246337891,288.075123076513,315.049255371094,271.046417236328,273.288690185547,287.206527709961,304.21667175293,306.774179077148
2008,253.2353515625,287.308042569014,312.150329589844,269.683264160156,273.037921142578,287.724990844727,301.5349609375,304.276319885254
2009,253.335174560547,287.088444874024,312.903472900391,268.520989990234,272.528494262695,287.984710693359,301.629565429687,303.982362365723
2010,250.428680419922,286.814745714983,314.383239746094,265.312307739258,269.45788269043,287.427383422852,303.084033203125,307.067071533203
2011,256.405548095703,286.452197699171,312.374816894531,267.871444702148,271.281384277344,285.957366943359,301.406558227539,303.532914733887
2012,250.498199462891,287.165588050053,313.196594238281,262.441091918945,268.550692749023,289.696472167969,303.873989868164,306.443544006348
2013,259.027038574219,286.843209400637,311.136901855469,269.781135559082,272.412197875977,287.750640869141,301.648864746094,303.742111206055
2014,248.412292480469,287.604948361865,312.636627197266,268.283129882812,272.618643188477,288.944229125977,302.493728637695,304.882205200195
2015,250.574066162109,288.085548082297,311.447631835938,272.493696594238,274.312005615234,286.65153503418,303.166485595703,305.833190917969
2016,257.201721191406,287.010936010708,313.523071289062,269.051734924316,272.27414855957,287.253601074219,302.817254638672,305.069361877441
2017,252.856689453125,287.365568163353,314.135925292969,268.76633605957,272.263208007813,287.404571533203,303.061929321289,305.95242767334
2018,257.8740234375,287.461195809964,311.614532470703,268.100247192383,270.937673950195,290.209533691406,302.627697753906,304.814053344727
2019,260.268859863281,288.332611049748,312.113800048828,270.737178039551,273.397427368164,289.398254394531,302.755529785156,304.794802856445
2020,262.903503417969,288.474604297722,313.301513671875,273.227603149414,274.383502197266,288.673522949219,302.692309570313,304.790582275391
