"Year","Minimum","Mean","Maximum","Quantile_0.05","Quantile_0.10","Median","Quantile_0.90","Quantile_0.95"
1990,-16.5535339355469,9.25515990115363,29.5034729003906,-4.18146514892576,-1.57781677246092,9.73816833496096,20.534262084961,22.76220703125
1991,-24.1320709228515,8.21970495387077,30.8896423339844,-8.37604827880857,-5.10409240722654,8.93668518066409,21.8149353027344,24.1869216918946
1992,-18.2722686767578,8.02825829944573,28.68203125,-7.5507141113281,-5.00551757812498,7.77268371582034,22.0854919433594,24.0354736328125
1993,-19.6093658447265,7.22010907662835,29.3605285644531,-9.74965057373045,-6.63844299316404,7.38987121582034,19.3168151855469,21.5554382324219
1994,-29.5180572509765,8.46313865131854,30.3934875488281,-8.06166381835935,-4.57375488281248,8.94027099609377,22.0742706298828,23.9523712158203
1995,-22.0694946289062,8.27312104482387,29.2586608886719,-8.60193786621092,-5.57482910156248,8.28286132812502,22.0531677246094,23.7747131347656
1996,-27.3992065429687,7.17863084075366,32.0415588378906,-13.609634399414,-10.158203125,8.14203796386721,21.314096069336,23.5206741333008
1997,-32.895361328125,7.01690888916197,29.1440063476563,-10.9443756103515,-6.36209411621092,6.64339599609377,20.7032653808594,22.185417175293
1998,-26.463491821289,7.91760013834398,33.473779296875,-10.5217300415039,-6.91649780273435,9.18547973632815,21.6922607421875,24.1616912841797
1999,-25.2341217041015,9.01841372659764,32.0131469726563,-6.58476562499998,-4.05513610839841,8.64560852050784,23.46533203125,25.5633850097656
2000,-25.3153442382812,8.73693253387948,33.2064453125,-6.71809387207029,-4.05992736816404,9.19072875976565,21.4219848632813,23.5521987915039
2001,-23.5576690673828,8.36605786326703,32.2010437011719,-9.46598663330076,-5.97208557128904,9.39231262207034,22.8238861083985,25.6429626464844
2002,-29.473257446289,9.00401306638869,32.9355712890625,-10.3580978393554,-6.2982238769531,9.03386840820315,22.7088104248047,25.6962478637696
2003,-25.8733276367187,7.44628042618398,29.4480224609375,-10.0686859130859,-6.53851318359373,7.0781188964844,21.2612823486328,22.6631729125977
2004,-18.882666015625,8.10800818958504,29.8704162597656,-8.07021484374998,-4.99987487792967,9.19124755859377,20.2442108154297,22.2677658081055
2005,-23.034292602539,8.41567669104,31.1311889648438,-8.59559326171873,-4.97351074218748,9.36861572265627,21.7232971191407,23.4578796386719
2006,-30.3152069091797,8.00965096082226,30.76015625,-11.4918533325195,-6.79696655273435,9.1138854980469,21.7629364013672,23.700163269043
2007,-22.9091094970703,9.82250030384237,33.1625610351563,-5.88031158447263,-3.2111633300781,8.4002624511719,24.384945678711,26.4840148925781
2008,-23.8266815185547,9.21632566540082,30.6222778320313,-7.11581420898435,-3.63265686035154,9.58274230957034,22.1349914550781,24.1797653198242
2009,-24.6431182861328,9.04967407709483,30.8059326171875,-8.57764739990232,-4.19836120605467,9.21015319824221,22.2021759033203,24.3660827636719
2010,-29.0918334960937,8.82686775344469,32.3024841308594,-11.3013671875,-7.50641479492185,8.98079833984377,24.2286071777344,27.0445983886719
2011,-22.74765625,8.31907848309504,32.0220581054688,-9.56350097656248,-5.98529663085935,7.20110473632815,22.2239624023438,24.0067581176758
2012,-28.658804321289,8.92310766191702,32.5305419921875,-14.1307678222656,-8.34246826171873,10.8959899902344,24.1829467773438,26.4943099975586
2013,-20.3075317382812,8.98520053238256,30.4102111816406,-7.37290954589841,-4.38521728515623,9.45833740234377,22.4154113769532,24.3707977294922
2014,-30.4674438476562,9.23402025693987,31.1816650390625,-8.91565246582029,-3.78162536621091,9.6238952636719,23.0032257080078,25.056689453125
2015,-29.1097015380859,9.81821948138398,30.5577331542969,-4.23148040771482,-1.76234130859373,8.17690429687502,23.348828125,25.5507385253906
2016,-19.723974609375,9.08587128175774,31.9943176269531,-7.87528228759763,-4.43139953613279,9.08333740234377,23.5902862548828,25.5419525146485
2017,-23.9450897216797,9.20624842889254,33.4177185058594,-8.70628967285154,-4.44252624511716,8.67264709472659,23.3056213378907,25.8814071655274
2018,-18.5997528076172,9.31441369468897,30.6323791503906,-8.88300018310545,-5.93336181640623,11.0721832275391,23.375244140625,25.2362808227539
2019,-17.5041870117187,10.1732618992319,30.3790832519531,-6.47036285400388,-2.95307922363279,10.6327606201172,23.3881774902344,25.0754669189453
2020,-15.0257019042969,10.2335825825762,32.8108459472656,-3.33534088134763,-1.72824707031248,9.90484008789065,23.2272247314453,24.8410736083985
