"Year","Minimum","Mean","Maximum","Quantile_0.05","Quantile_0.10","Median","Quantile_0.90","Quantile_0.95"
1990,263.694702148438,286.917376101092,307.974761962891,274.896636962891,276.640093994141,286.195541381836,297.808825683594,299.758737182617
1991,263.588134765625,286.163380921246,309.446197509766,274.60818939209,276.287536621094,284.569885253906,298.221795654297,300.519581604004
1992,266.037750244141,286.091777990593,306.627166748047,274.714813232422,276.562463378906,285.352233886719,296.805209350586,299.094612121582
1993,263.311187744141,285.680426322943,306.950653076172,275.569117736816,277.033203125,284.627746582031,296.328387451172,298.933988952637
1994,262.290344238281,287.018711467685,307.95068359375,275.533090209961,277.705270385742,286.054885864258,298.110995483398,300.253189086914
1995,260.339538574219,287.24005760863,308.307434082031,276.072250366211,277.970938110352,287.123229980469,296.817449951172,299.069856262207
1996,261.216766357422,286.034593005964,305.246124267578,275.293548583984,277.035098266602,285.478927612305,296.042034912109,298.073461914062
1997,263.795928955078,286.978516538357,305.744415283203,276.416409301758,278.453109741211,286.832992553711,295.804632568359,297.670863342285
1998,263.599609375,286.501827462417,306.287109375,275.486801147461,277.234628295898,285.750061035156,297.378778076172,299.399003601074
1999,261.068176269531,286.461977334464,307.551361083984,274.588674926758,276.30788269043,286.012359619141,297.477163696289,299.44465637207
2000,265.045837402344,286.509426256975,306.324005126953,275.382901000977,277.36943359375,285.551513671875,297.07614440918,299.036730957031
2001,261.617279052734,286.533528068106,305.130828857422,274.663961791992,276.643646240234,286.109313964844,297.481893920898,299.388789367676
2002,267.522125244141,286.704118901206,305.301574707031,276.470539855957,277.979727172852,285.983001708984,296.755993652344,298.840460205078
2003,261.430419921875,287.03636702274,309.926544189453,274.959622192383,276.925189208984,285.935913085938,298.687899780273,300.644046020508
2004,263.572784423828,286.506444927965,309.616119384766,275.182514953613,277.025958251953,285.259750366211,297.339288330078,299.397695922852
2005,258.109893798828,286.644888912573,307.170806884766,273.624736022949,275.419790649414,286.642990112305,298.092330932617,300.094058227539
2006,265.570831298828,287.273549494348,307.943145751953,274.722334289551,276.526654052734,287.274230957031,297.998654174805,300.152296447754
2007,263.090179443359,286.2995568105,306.184906005859,275.583575439453,277.382586669922,285.812973022461,296.170629882812,298.405946350098
2008,265.074310302734,286.264450718222,305.859832763672,275.581188964844,277.408929443359,285.557006835938,296.802471923828,298.906718444824
2009,261.245269775391,287.080983920163,307.058746337891,274.547613525391,276.907498168945,286.708465576172,298.319900512695,300.264642333984
2010,259.225402832031,286.036996156507,307.893524169922,273.163008117676,275.471975708008,285.369232177734,297.666925048828,299.826669311523
2011,262.047790527344,287.248175127028,306.062286376953,275.814524841309,277.748522949219,287.165725708008,297.316879272461,299.226182556152
2012,257.057373046875,286.720030588109,308.432983398438,274.62571105957,276.526345825195,285.769775390625,298.03708190918,300.012945556641
2013,261.152191162109,286.141099905649,307.156768798828,274.752418518066,276.325207519531,285.438903808594,297.228063964844,299.232876586914
2014,260.202270507812,287.198899269565,305.060333251953,276.189344787598,277.782861328125,287.356719970703,296.8673828125,298.920465087891
2015,260.567047119141,287.43809612019,307.755706787109,275.547503662109,277.632272338867,286.884399414062,298.289462280273,300.894479370117
2016,265.405487060547,287.103791986145,307.821746826172,276.277546691894,277.840731811523,286.017120361328,298.318984985352,300.401812744141
2017,260.516143798828,287.629954000837,308.710723876953,275.303315734863,277.223962402344,287.48974609375,298.447113037109,300.601617431641
2018,261.291259765625,286.764985870927,309.120635986328,275.327685546875,277.293627929687,286.1103515625,297.742715454102,299.621780395508
2019,264.342468261719,287.295510318335,306.320098876953,276.252003479004,278.009622192383,286.37255859375,297.959017944336,300.19118347168
2020,265.996856689453,287.495089930624,307.186950683594,276.72939453125,278.618115234375,286.414154052734,297.998709106445,300.429034423828
