"Year","Minimum","Mean","Maximum","Quantile_0.05","Quantile_0.10","Median","Quantile_0.90","Quantile_0.95"
1990,258.327117919922,281.391881465497,299.660186767578,270.678631591797,272.281469726562,280.964477539062,290.956356811523,292.845947265625
1991,257.610931396484,280.66104027317,300.8544921875,270.38017578125,271.879965209961,279.574417114258,291.055004882813,293.069189453125
1992,261.122680664062,280.558207565793,299.963897705078,270.440629577637,271.87158203125,280.140380859375,289.844250488281,291.946966552734
1993,258.304931640625,280.276048513162,299.567321777344,270.802661132812,272.226373291016,279.684265136719,289.474862670898,291.672500610352
1994,257.236938476562,281.297288167678,299.715301513672,271.178982543945,272.919412231445,280.731033325195,290.547277832031,292.719009399414
1995,255.309783935547,281.558942629609,299.393615722656,271.253659057617,273.030249023437,281.535003662109,290.025942993164,292.090602111816
1996,257.495239257812,280.74130062004,298.620178222656,270.838893127441,272.682653808594,280.40283203125,289.314074707031,291.176263427734
1997,258.713653564453,281.697521453838,299.006927490234,272.26134185791,273.941842651367,281.502288818359,289.732928466797,291.513006591797
1998,259.136383056641,281.053999169509,299.052673339844,271.09210357666,272.671994018555,280.586929321289,290.415615844727,292.361572265625
1999,256.664215087891,280.940434581133,298.75048828125,270.323042297363,271.796606445312,280.812622070312,290.448001098633,292.251638793945
2000,259.126037597656,280.959708046246,299.291137695312,271.059164428711,272.781420898437,280.47119140625,289.909854125977,291.717878723145
2001,256.886474609375,281.11974058829,298.8447265625,270.54592590332,272.337866210938,281.022308349609,290.358850097656,292.248788452148
2002,262.290893554688,281.29023717101,298.686553955078,272.181439208984,273.676620483398,280.766616821289,289.84924621582,291.57825012207
2003,256.189117431641,281.668421566922,300.881927490234,270.699099731445,272.607037353516,281.126663208008,291.360333251953,293.321011352539
2004,258.324432373047,281.142486861648,301.154144287109,270.741108703613,272.406146240234,280.46598815918,290.595559692383,292.478536987305
2005,255.131652832031,280.94164841104,299.519927978516,269.428636169434,270.934136962891,281.146881103516,290.800573730469,292.641873168945
2006,259.006256103516,281.869855232085,300.998413085938,270.554730224609,272.186328125,282.040924072266,291.071322631836,293.065937805176
2007,258.546936035156,280.868191086172,298.504577636719,271.17887878418,272.837188720703,280.533660888672,289.685903930664,291.61810760498
2008,260.940032958984,280.925333924203,298.767303466797,271.360111999512,272.924963378906,280.441940307617,289.987509155273,291.892674255371
2009,257.764678955078,281.482457696882,299.596618652344,270.526655578613,272.430798339844,281.255676269531,291.157550048828,293.116241455078
2010,256.242736816406,280.846390077405,300.142883300781,269.351647949219,271.426998901367,280.579803466797,291.008258056641,292.839575195312
2011,259.066223144531,281.789293495688,299.221710205078,271.469831848145,273.378289794922,281.776000976562,290.443948364258,292.245973205566
2012,251.147033691406,281.042561633148,300.16552734375,270.137356567383,271.742111206055,280.647308349609,290.746392822266,292.743591308594
2013,256.097961425781,280.848217777864,299.525421142578,270.56615447998,271.967291259766,280.472274780273,290.363079833984,292.100067138672
2014,256.393127441406,281.758204708176,298.8212890625,271.906105041504,273.41716003418,281.838119506836,290.106311035156,291.860412597656
2015,257.816772460938,281.850728764684,300.286987304688,271.138804626465,272.950939941406,281.542144775391,291.293780517578,293.494892883301
2016,261.944000244141,281.695495608412,300.33203125,271.810726928711,273.356307983398,281.120513916016,291.13232421875,293.143029785156
2017,254.184051513672,281.833058981699,300.993835449219,270.966233825684,272.660275268555,281.581359863281,291.358633422852,293.370085144043
2018,255.527893066406,281.57624885307,301.511657714844,271.000788879395,272.890197753906,281.22541809082,290.906701660156,292.739808654785
2019,258.385314941406,281.629665157493,299.389129638672,271.747045898437,273.257611083984,280.972152709961,290.9328125,292.886198425293
2020,264.384887695312,282.216348755118,299.812072753906,272.478588867188,274.196395874023,281.652450561523,291.168228149414,293.380979919434
