"origin","year","dest","Y_odt","gdp_per_capita","min_temperature","mean_temperature","max_temperature","D_od"
"ESP","1990-1995","BDI",0,872.684958171295,-14.6294799804687,13.2243345607118,44.6177917480469,5945.8705503759
"ESP","1990-1995","COM",0,3471.8548206347,-14.6294799804687,13.2243345607118,44.6177917480469,7541.6899678822
"ESP","1990-1995","DJI",0,2527.059028295,-14.6294799804687,13.2243345607118,44.6177917480469,5511.58360413981
"ESP","1990-1995","ERI",0,NA,-14.6294799804687,13.2243345607118,44.6177917480469,4931.88050396039
"ESP","1990-1995","ETH",0,654.910195383673,-14.6294799804687,13.2243345607118,44.6177917480469,5531.32938772678
"ESP","1990-1995","KEN",0,2222.26665872542,-14.6294799804687,13.2243345607118,44.6177917480469,6085.70560953197
"ESP","1990-1995","MDG",0,1234.710514206,-14.6294799804687,13.2243345607118,44.6177917480469,8442.43584838961
"ESP","1990-1995","MWI",0,1052.48525084146,-14.6294799804687,13.2243345607118,44.6177917480469,7121.9841431017
"ESP","1990-1995","MUS",0,11880.5127955846,-14.6294799804687,13.2243345607118,44.6177917480469,9250.59988860925
"ESP","1990-1995","MYT",0,NA,-14.6294799804687,13.2243345607118,44.6177917480469,NA
"ESP","1990-1995","MOZ",0,600.456909724276,-14.6294799804687,13.2243345607118,44.6177917480469,7579.40955465431
"ESP","1990-1995","REU",0,NA,-14.6294799804687,13.2243345607118,44.6177917480469,NA
"ESP","1990-1995","RWA",0,970.520690830122,-14.6294799804687,13.2243345607118,44.6177917480469,5817.26320747756
"ESP","1990-1995","SYC",0,18760.9819459005,-14.6294799804687,13.2243345607118,44.6177917480469,7822.65393348854
"ESP","1990-1995","SOM",0,NA,-14.6294799804687,13.2243345607118,44.6177917480469,6222.49460728996
"ESP","1990-1995","SSD",0,NA,-14.6294799804687,13.2243345607118,44.6177917480469,4980.89466076697
"ESP","1990-1995","UGA",1,929.633381293038,-14.6294799804687,13.2243345607118,44.6177917480469,5661.47589759249
"ESP","1990-1995","TZA",0,947.215772213649,-14.6294799804687,13.2243345607118,44.6177917480469,6505.56698528638
"ESP","1990-1995","ZMB",0,1231.20090744377,-14.6294799804687,13.2243345607118,44.6177917480469,6802.25233885708
"ESP","1990-1995","ZWE",0,5601.81527826935,-14.6294799804687,13.2243345607118,44.6177917480469,7448.95084639409
"ESP","1990-1995","AGO",0,2808.12859177484,-14.6294799804687,13.2243345607118,44.6177917480469,6252.29235501602
"ESP","1990-1995","CMR",0,2445.00942620517,-14.6294799804687,13.2243345607118,44.6177917480469,4187.92229832828
"ESP","1990-1995","CAF",0,1119.50866407176,-14.6294799804687,13.2243345607118,44.6177917480469,4458.03758979148
"ESP","1990-1995","TCD",0,1183.44803220435,-14.6294799804687,13.2243345607118,44.6177917480469,3518.21595873291
"ESP","1990-1995","COG",0,2197.15579616526,-14.6294799804687,13.2243345607118,44.6177917480469,4963.96834172607
"ESP","1990-1995","COD",0,1228.68201972276,-14.6294799804687,13.2243345607118,44.6177917480469,5549.13451609227
"ESP","1990-1995","GNQ",128,2086.48715338465,-14.6294799804687,13.2243345607118,44.6177917480469,4533.72239229943
"ESP","1990-1995","GAB",0,9494.03810581488,-14.6294799804687,13.2243345607118,44.6177917480469,4820.51037308405
"ESP","1990-1995","STP",0,1741.34612131307,-14.6294799804687,13.2243345607118,44.6177917480469,4583.57751914357
"ESP","1990-1995","DZA",0,8882.56717712442,-14.6294799804687,13.2243345607118,44.6177917480469,1468.73491734866
"ESP","1990-1995","EGY",0,2841.61953840457,-14.6294799804687,13.2243345607118,44.6177917480469,3441.56026238206
"ESP","1990-1995","LBY",0,NA,-14.6294799804687,13.2243345607118,44.6177917480469,2480.50292277935
